TrackerRow,Group,Perk,OriginalTestStatus,BibleTab,BibleRow,MetadataReview,CodePerk,AbilityEvidence,ReviewOutcome
252,Espionage,Trap Management I,Not Tested,Espionage,42,PASS,TrapManagement/EspionageSaboteur/Trap Management rank 1,TrapManagementTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
253,Espionage,Shock Trap,Not Tested,Espionage,43,PASS,ShockTrap/EspionageSaboteur/Shock Trap rank 1,ShockTrap: ShockTrapAbilityDefinition.cs name='Shock Trap' level=1 skill=Espionage activation=Casted FP=- STM=6 cast=2 cooldown=18,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
254,Espionage,Poisoncraft III,Not Tested,Espionage,44,PASS,Poisoncraft/EspionageSaboteur/Poisoncraft rank 3,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
255,Espionage,Trapcraft III,Not Tested,Espionage,45,PASS,Trapcraft/EspionageSaboteur/Trapcraft rank 3,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
256,Espionage,Lasting Coatings,Not Tested,Espionage,46,PASS,LastingCoatings/EspionageSaboteur/Lasting Coatings rank 1,LastingCoatingsTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
257,Espionage,Venom Expertise II,Not Tested,Espionage,47,PASS,VenomExpertise/EspionageSaboteur/Venom Expertise rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
258,Espionage,Razor Trap II,Not Tested,Espionage,48,PASS,RazorTrap/EspionageSaboteur/Razor Trap rank 2,RazorTrap2: RazorTrapAbilityDefinition.cs name='Razor Trap II' level=2 skill=Espionage activation=Casted FP=- STM=7 cast=2 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
259,Espionage,Poisoncraft IV,Not Tested,Espionage,49,PASS,Poisoncraft/EspionageSaboteur/Poisoncraft rank 4,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
260,Espionage,Trap Management II,Not Tested,Espionage,50,PASS,TrapManagement/EspionageSaboteur/Trap Management rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
261,Espionage,Trapcraft IV,Not Tested,Espionage,51,PASS,Trapcraft/EspionageSaboteur/Trapcraft rank 4,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
262,Espionage,Poisoncraft V,Not Tested,Espionage,52,PASS,Poisoncraft/EspionageSaboteur/Poisoncraft rank 5,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
263,Espionage,Master Saboteur,Not Tested,Espionage,53,PASS,MasterSaboteur/EspionageSaboteur/Master Saboteur rank 1,MasterSaboteurTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
312,Force,Throw Lightsaber I,In Progress,Force,13,PASS,ThrowLightsaber/ForceAlter/Throw Lightsaber rank 1,ThrowLightsaber1: ThrowLightsaberAbilityDefinition.cs name='Throw Lightsaber I' level=1 skill=Force activation=Casted FP=2 STM=1 cast=1.5 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
315,Force,Creeping Terror II,Not Tested,Force,16,PASS,CreepingTerror/ForceAlter/Creeping Terror rank 2,CreepingTerror2: CreepingTerrorAbilityDefinition.cs name='Creeping Terror II' level=2 skill=Force activation=Casted FP=6 STM=- cast=1 cooldown=32,Retain cast identity across field ticks so Tempest Bloom pulses once per cast.
316,Force,Force Spark II,Not Tested,Force,17,PASS,ForceSpark/ForceAlter/Force Spark rank 2,ForceSpark2: ForceSparkAbilityDefinition.cs name='Force Spark II' level=2 skill=Force activation=Casted FP=4 STM=- cast=1 cooldown=6,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
317,Force,Throw Rock II,Not Tested,Force,18,PASS,ThrowRock/ForceAlter/Throw Rock rank 2,ThrowRock2: ThrowRockAbilityDefinition.cs name='Throw Rock II' level=2 skill=Force activation=Casted FP=4 STM=- cast=1.5 cooldown=6,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
318,Force,Force Choke II,Not Tested,Force,19,PASS,ForceChoke/ForceAlter/Force Choke rank 2,ForceChoke2: ForceChokeAbilityDefinition.cs name='Force Choke II' level=2 skill=Force activation=Casted FP=3 STM=- cast=1.5 cooldown=45,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
322,Force,Devouring Strike,Not Tested,Force,23,PASS,DevouringStrike/ForceAlter/Devouring Strike rank 1,DevouringStrikeTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
323,Force,Throw Lightsaber II,Not Tested,Force,24,PASS,ThrowLightsaber/ForceAlter/Throw Lightsaber rank 2,ThrowLightsaber2: ThrowLightsaberAbilityDefinition.cs name='Throw Lightsaber II' level=2 skill=Force activation=Casted FP=3 STM=1 cast=1.5 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
324,Force,Force Choke III,Not Tested,Force,25,PASS,ForceChoke/ForceAlter/Force Choke rank 3,ForceChoke3: ForceChokeAbilityDefinition.cs name='Force Choke III' level=3 skill=Force activation=Casted FP=4 STM=- cast=1.5 cooldown=45,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
325,Force,Unstable Pressure,Not Tested,Force,27,PASS,UnstablePressure/ForceAlter/Unstable Pressure rank 1,UnstablePressureTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
337,Force,Protective Presence,In Progress,Force,41,PASS,LightGuardianDeflectivePresence/ForceControl/Protective Presence rank 1,LightGuardianDeflectivePresenceTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
340,Force,Serene Focus,Not Tested,Force,44,PASS,SereneFocus/ForceControl/Serene Focus rank 1,SereneFocusTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
347,Force,Cruel Momentum,Not Tested,Force,51,PASS,CruelMomentum/ForceControl/Cruel Momentum rank 1,CruelMomentumTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
355,Force,Harmonic Restoration,Not Tested,Force,59,PASS,HarmonicRestoration/ForceControl/Harmonic Restoration rank 1,HarmonicRestorationTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
356,Force,Force Convergence,Not Tested,Force,60,PASS,ForceConvergence/ForceControl/Force Convergence rank 1,ForceConvergenceTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
357,Force,Hunger of the Dark,Not Tested,Force,61,PASS,HungerOfTheDark/ForceControl/Hunger of the Dark rank 1,HungerOfTheDark1: HungerOfTheDarkAbilityDefinition.cs name='Hunger of the Dark' level=1 skill=Force activation=Casted FP=10 STM=- cast=0 cooldown=90,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
358,Force,Weaken Resolve I,Not Tested,Force,64,PASS,WeakenResolve/ForceSense/Weaken Resolve rank 1,WeakenResolve1: WeakenResolveAbilityDefinition.cs name='Weaken Resolve I' level=1 skill=Force activation=Casted FP=3 STM=- cast=1 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
359,Force,Force Judgment I,Not Tested,Force,65,PASS,ForceJudgment/ForceSense/Force Judgment rank 1,ForceJudgment1: ForceJudgmentAbilityDefinition.cs name='Force Judgment I' level=1 skill=Force activation=Casted FP=2 STM=- cast=1.5 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
360,Force,Radiant Lance I,Not Tested,Force,66,PASS,RadiantLance/ForceSense/Radiant Lance rank 1,RadiantLance1: RadiantLanceAbilityDefinition.cs name='Radiant Lance I' level=1 skill=Force activation=Casted FP=4 STM=- cast=1.5 cooldown=15,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
361,Force,Mind Trick I,Not Tested,Force,67,PASS,MindTrick/ForceSense/Mind Trick rank 1,MindTrick1: MindTrickAbilityDefinition.cs name='Mind Trick I' level=1 skill=Force activation=Casted FP=4 STM=- cast=1 cooldown=45,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
362,Force,Courageous Resolve,Not Tested,Force,68,PASS,CourageousResolve/ForceSense/Courageous Resolve rank 1,CourageousResolveTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
364,Force,Precognition,Not Tested,Force,70,PASS,Precognition/ForceSense/Precognition rank 1,PrecognitionTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
365,Force,Force Judgment II,Not Tested,Force,71,PASS,ForceJudgment/ForceSense/Force Judgment rank 2,ForceJudgment2: ForceJudgmentAbilityDefinition.cs name='Force Judgment II' level=2 skill=Force activation=Casted FP=3 STM=- cast=1.5 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
367,Force,Force Intercept,Not Tested,Force,73,PASS,ForceIntercept/ForceSense/Force Intercept rank 1,ForceIntercept1: ForceInterceptAbilityDefinition.cs name='Force Intercept' level=1 skill=Force activation=Casted FP=5 STM=- cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
373,Force,Eclipse of Resolve,Not Tested,Force,79,PASS,EclipseOfResolve/ForceSense/Eclipse of Resolve rank 1,EclipseOfResolve1: EclipseOfResolveAbilityDefinition.cs name='Eclipse of Resolve' level=1 skill=Force activation=Casted FP=10 STM=- cast=1.5 cooldown=90,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
409,Heavy Vibroblade,Flash,Retest,Heavy Vibroblade,12,PASS,Flash/HeavyVibrobladeDefense/Flash rank 1,Flash1: FlashAbilityDefinition.cs name='Flash' level=1 skill=HeavyVibroblade activation=Casted FP=- STM=8 cast=0 cooldown=45,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
441,Heavy Vibroblade,Soul Ascension,Retest,Heavy Vibroblade,46,PASS,SoulAscension/HeavyVibrobladeOffense/Soul Ascension rank 1,SoulAscensionTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
453,Katar,Tag In,Retest,Katar,20,PASS,TwinIntercept/KatarIronGuard/Tag In rank 1,TwinIntercept1: TagInAbilityDefinition.cs name='Tag In' level=1 skill=Katar activation=Casted FP=- STM=8 cast=0 cooldown=18,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
459,Katar,Adamantine Guard,Retest,Katar,26,PASS,AdamantineGuard/KatarIronGuard/Adamantine Guard rank 1,AdamantineGuard1: AdamantineGuardAbilityDefinition.cs name='Adamantine Guard' level=1 skill=Katar activation=Casted FP=- STM=15 cast=1 cooldown=90,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
466,Katar,Interrupting Sweep I,Retest,Katar,35,PASS,InterruptingSweep/KatarVenomCurrent/Interrupting Sweep rank 1,InterruptingSweep1: InterruptingSweepAbilityDefinition.cs name='Interrupting Sweep I' level=1 skill=Katar activation=Casted FP=- STM=6 cast=0 cooldown=30,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
472,Katar,Interrupting Sweep II,Retest,Katar,41,PASS,InterruptingSweep/KatarVenomCurrent/Interrupting Sweep rank 2,InterruptingSweep2: InterruptingSweepAbilityDefinition.cs name='Interrupting Sweep II' level=2 skill=Katar activation=Casted FP=- STM=9 cast=0 cooldown=30,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
473,Katar,Iron Grip,Retest,Katar,42,PASS,IronGrip/KatarVenomCurrent/Iron Grip rank 1,IronGripTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
523,Lightsaber,Overpower I,Not Tested,Lightsaber,10,PASS,Overpower/LightsaberDefense/Overpower rank 1,OverpowerTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
524,Lightsaber,Fast Strikes,Not Tested,Lightsaber,11,PASS,FastStrikes/LightsaberDefense/Fast Strikes rank 1,FastStrikesTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
527,Lightsaber,Weak Points,Not Tested,Lightsaber,14,PASS,WeakPoints/LightsaberDefense/Weak Points rank 1,WeakPointsTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
529,Lightsaber,Imbuement Stance,Not Tested,Lightsaber,16,PASS,ImbuementStance/LightsaberDefense/Imbuement Stance rank 1,ImbuementStance1: ImbuementStanceAbilityDefinition.cs name='Imbuement Stance' level=1 skill=Lightsaber activation=Casted FP=- STM=- cast=2 cooldown=30,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
530,Lightsaber,Overpower II,Not Tested,Lightsaber,17,PASS,Overpower/LightsaberDefense/Overpower rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
531,Lightsaber,High Ground,Not Tested,Lightsaber,18,PASS,HighGround/LightsaberDefense/High Ground rank 1,HighGroundTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
535,Lightsaber,Focus Shift,Not Tested,Lightsaber,22,PASS,FocusShift/LightsaberDefense/Focus Shift rank 1,FocusShiftTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
538,Lightsaber,Overpower III,Not Tested,Lightsaber,25,PASS,Overpower/LightsaberDefense/Overpower rank 3,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
539,Lightsaber,Epicenter,Not Tested,Lightsaber,26,PASS,Epicenter/LightsaberDefense/Epicenter rank 1,Epicenter1: EpicenterAbilityDefinition.cs name='Epicenter' level=1 skill=Lightsaber activation=Casted FP=15 STM=10 cast=3 cooldown=90,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
541,Lightsaber,Mental Fortress I,Not Tested,Lightsaber,30,PASS,MentalFortress/LightsaberOffense/Mental Fortress rank 1,MentalFortressTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
542,Lightsaber,Deflecting Return I,Not Tested,Lightsaber,31,PASS,DeflectingReturn/LightsaberOffense/Deflecting Return rank 1,DeflectingReturnTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
545,Lightsaber,"Surrounded, Not Outmatched",Not Tested,Lightsaber,34,PASS,"SurroundedNotOutmatched/LightsaberOffense/Surrounded, Not Outmatched rank 1",SurroundedNotOutmatchedTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
546,Lightsaber,Force Link,Not Tested,Lightsaber,35,PASS,SaberForceLink/LightsaberOffense/Force Link rank 1,ForceLink1: ForceLinkAbilityDefinition.cs name='Force Link' level=1 skill=Lightsaber activation=Casted FP=3 STM=4 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
547,Lightsaber,Immovable Stance,Not Tested,Lightsaber,36,PASS,ImmovableStance/LightsaberOffense/Immovable Stance rank 1,ImmovableStance1: ImmovableStanceAbilityDefinition.cs name='Immovable Stance' level=1 skill=Lightsaber activation=Casted FP=- STM=- cast=2 cooldown=30,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
548,Lightsaber,Mental Fortress II,Not Tested,Lightsaber,37,PASS,MentalFortress/LightsaberOffense/Mental Fortress rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
549,Lightsaber,Deflecting Return II,Not Tested,Lightsaber,38,PASS,DeflectingReturn/LightsaberOffense/Deflecting Return rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
553,Lightsaber,Center of the Storm,Not Tested,Lightsaber,42,PASS,CenterOfTheStorm/LightsaberOffense/Center of the Storm rank 1,CenterOfTheStormTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
556,Lightsaber,Deflecting Return III,Not Tested,Lightsaber,45,PASS,DeflectingReturn/LightsaberOffense/Deflecting Return rank 3,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
557,Lightsaber,Aegis Eternal,Not Tested,Lightsaber,46,PASS,AegisEternal/LightsaberOffense/Aegis Eternal rank 1,AegisEternal1: AegisEternalAbilityDefinition.cs name='Aegis Eternal' level=1 skill=Lightsaber activation=Casted FP=8 STM=15 cast=2 cooldown=90,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
567,Mimicry,Overclocked Analyzer,Not Tested,Mimicry,17,PASS,OverclockedAnalyzer/Mimicry/Overclocked Analyzer rank 1,Overload: OverclockedAnalyzerAbilityDefinition.cs name='Overclocked Analyzer' level=1 skill=Mimicry activation=Casted FP=- STM=10 cast=1 cooldown=60,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
579,Mimicry,Concussive Challenge,Retest,Mimicry,30,PASS,ConcussiveChallengeTechnique/ConcussiveChallengeTechniqueAbilityDefinition/Mimicry rank 47,ConcussiveChallengeTechnique: ConcussiveChallengeTechniqueAbilityDefinition.cs name='Concussive Challenge' level=1 skill=Mimicry activation=Casted FP=- STM=5 cast=1 cooldown=18 mimicryRank=47 slots=2 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
585,Mimicry,Mauling Bite,Not Tested,Mimicry,36,PASS,MaulingBiteTechnique/MaulingBiteTechniqueAbilityDefinition/Mimicry rank 9,MaulingBiteTechnique: MaulingBiteTechniqueAbilityDefinition.cs name='Mauling Bite' level=1 skill=Mimicry activation=Invalid FP=- STM=- cast=0 cooldown=- mimicryRank=9 slots=2 trait=True stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
587,Mimicry,Overload Shot,Not Tested,Mimicry,38,PASS,OverloadShotTechnique/OverloadShotTechniqueAbilityDefinition/Mimicry rank 17,OverloadShotTechnique: OverloadShotTechniqueAbilityDefinition.cs name='Overload Shot' level=1 skill=Mimicry activation=Invalid FP=- STM=- cast=0 cooldown=- mimicryRank=17 slots=2 trait=True stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
588,Mimicry,Piercing Quills,Not Tested,Mimicry,39,PASS,PiercingQuillsTechnique/PiercingQuillsTechniqueAbilityDefinition/Mimicry rank 13,PiercingQuillsTechnique: PiercingQuillsTechniqueAbilityDefinition.cs name='Piercing Quills' level=1 skill=Mimicry activation=Casted FP=- STM=5 cast=1.6 cooldown=18 mimicryRank=13 slots=2 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
589,Mimicry,Pouncing Strike,Not Tested,Mimicry,40,PASS,PouncingStrikeTechnique/PouncingStrikeTechniqueAbilityDefinition/Mimicry rank 8,PouncingStrikeTechnique: PouncingStrikeTechniqueAbilityDefinition.cs name='Pouncing Strike' level=1 skill=Mimicry activation=Casted FP=- STM=5 cast=1.2 cooldown=15 mimicryRank=8 slots=2 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
591,Mimicry,Rending Carve,Not Tested,Mimicry,42,PASS,RendingCarveTechnique/RendingCarveTechniqueAbilityDefinition/Mimicry rank 43,RendingCarveTechnique: RendingCarveTechniqueAbilityDefinition.cs name='Rending Carve' level=1 skill=Mimicry activation=Invalid FP=- STM=- cast=0 cooldown=- mimicryRank=43 slots=2 trait=True stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
592,Mimicry,Rime Pounce,Not Tested,Mimicry,43,PASS,RimePounceTechnique/RimePounceTechniqueAbilityDefinition/Mimicry rank 34,RimePounceTechnique: RimePounceTechniqueAbilityDefinition.cs name='Rime Pounce' level=1 skill=Mimicry activation=Invalid FP=- STM=- cast=0 cooldown=- mimicryRank=34 slots=2 trait=True stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
593,Mimicry,Savage Roar,Not Tested,Mimicry,44,PASS,SavageRoarTechnique/SavageRoarTechniqueAbilityDefinition/Mimicry rank 22,SavageRoarTechnique: SavageRoarTechniqueAbilityDefinition.cs name='Savage Roar' level=1 skill=Mimicry activation=Casted FP=- STM=5 cast=1 cooldown=18 mimicryRank=22 slots=2 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
594,Mimicry,Serrated Slash,Not Tested,Mimicry,45,PASS,SerratedSlashTechnique/SerratedSlashTechniqueAbilityDefinition/Mimicry rank 30,SerratedSlashTechnique: SerratedSlashTechniqueAbilityDefinition.cs name='Serrated Slash' level=1 skill=Mimicry activation=Invalid FP=- STM=- cast=0 cooldown=- mimicryRank=30 slots=2 trait=True stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
595,Mimicry,Sonic Shriek,Not Tested,Mimicry,46,PASS,SonicShriekTechnique/SonicShriekTechniqueAbilityDefinition/Mimicry rank 0,SonicShriekTechnique: SonicShriekTechniqueAbilityDefinition.cs name='Sonic Shriek' level=1 skill=Mimicry activation=Casted FP=- STM=5 cast=1.3 cooldown=18 mimicryRank=0 slots=2 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
596,Mimicry,Static Web,Not Tested,Mimicry,47,PASS,StaticWebTechnique/StaticWebTechniqueAbilityDefinition/Mimicry rank 1,StaticWebTechnique: StaticWebTechniqueAbilityDefinition.cs name='Static Web' level=1 skill=Mimicry activation=Casted FP=- STM=5 cast=1.4 cooldown=18 mimicryRank=1 slots=2 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
597,Mimicry,Suppressing Shot,Not Tested,Mimicry,48,PASS,SuppressingShotTechnique/SuppressingShotTechniqueAbilityDefinition/Mimicry rank 1,SuppressingShotTechnique: SuppressingShotTechniqueAbilityDefinition.cs name='Suppressing Shot' level=1 skill=Mimicry activation=Casted FP=- STM=5 cast=1.2 cooldown=18 mimicryRank=1 slots=2 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
598,Mimicry,Tactical Mark,Not Tested,Mimicry,49,PASS,TacticalMarkTechnique/TacticalMarkTechniqueAbilityDefinition/Mimicry rank 5,TacticalMarkTechnique: TacticalMarkTechniqueAbilityDefinition.cs name='Tactical Mark' level=1 skill=Mimicry activation=Invalid FP=- STM=- cast=0 cooldown=- mimicryRank=5 slots=2 trait=True stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
599,Mimicry,Tail Sweep,Not Tested,Mimicry,50,PASS,TailSweepTechnique/TailSweepTechniqueAbilityDefinition/Mimicry rank 10,TailSweepTechnique: TailSweepTechniqueAbilityDefinition.cs name='Tail Sweep' level=1 skill=Mimicry activation=Casted FP=- STM=5 cast=1.4 cooldown=18 mimicryRank=10 slots=2 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
600,Mimicry,Venom Spray,Not Tested,Mimicry,51,PASS,VenomSprayTechnique/VenomSprayTechniqueAbilityDefinition/Mimicry rank 31,VenomSprayTechnique: VenomSprayTechniqueAbilityDefinition.cs name='Venom Spray' level=1 skill=Mimicry activation=Casted FP=- STM=5 cast=1.4 cooldown=18 mimicryRank=31 slots=2 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
601,Mimicry,Arc Pulse,Not Tested,Mimicry,52,PASS,ArcPulseTechnique/ArcPulseTechniqueAbilityDefinition/Mimicry rank 35,ArcPulseTechnique: ArcPulseTechniqueAbilityDefinition.cs name='Arc Pulse' level=1 skill=Mimicry activation=Casted FP=- STM=8 cast=1.3 cooldown=24 mimicryRank=35 slots=3 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
603,Mimicry,Brace Breaker,Not Tested,Mimicry,54,PASS,BraceBreakerTechnique/BraceBreakerTechniqueAbilityDefinition/Mimicry rank 41,BraceBreakerTechnique: BraceBreakerTechniqueAbilityDefinition.cs name='Brace Breaker' level=1 skill=Mimicry activation=Casted FP=- STM=7 cast=0.8 cooldown=18 mimicryRank=41 slots=2 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
604,Mimicry,Dark Shock,Not Tested,Mimicry,55,PASS,DarkShockTechnique/DarkShockTechniqueAbilityDefinition/Mimicry rank 37,DarkShockTechnique: DarkShockTechniqueAbilityDefinition.cs name='Dark Shock' level=1 skill=Mimicry activation=Casted FP=- STM=8 cast=1.5 cooldown=24 mimicryRank=37 slots=3 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
605,Mimicry,Disorienting Screech,Not Tested,Mimicry,56,PASS,DisorientingScreechTechnique/DisorientingScreechTechniqueAbilityDefinition/Mimicry rank 0,DisorientingScreechTechnique: DisorientingScreechTechniqueAbilityDefinition.cs name='Disorienting Screech' level=1 skill=Mimicry activation=Casted FP=- STM=8 cast=2 cooldown=24 mimicryRank=0 slots=3 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
606,Mimicry,Dread Wave,Not Tested,Mimicry,57,PASS,DreadWaveTechnique/DreadWaveTechniqueAbilityDefinition/Mimicry rank 38,DreadWaveTechnique: DreadWaveTechniqueAbilityDefinition.cs name='Dread Wave' level=1 skill=Mimicry activation=Casted FP=- STM=8 cast=1.2 cooldown=24 mimicryRank=38 slots=3 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
608,Mimicry,Force Sunder,Not Tested,Mimicry,59,PASS,ForceSunderTechnique/ForceSunderTechniqueAbilityDefinition/Mimicry rank 47,ForceSunderTechnique: ForceSunderTechniqueAbilityDefinition.cs name='Force Sunder' level=1 skill=Mimicry activation=Invalid FP=- STM=- cast=0 cooldown=- mimicryRank=47 slots=2 trait=True stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
610,Mimicry,Grenade Burst,Not Tested,Mimicry,61,PASS,GrenadeBurstTechnique/GrenadeBurstTechniqueAbilityDefinition/Mimicry rank 12,GrenadeBurstTechnique: GrenadeBurstTechniqueAbilityDefinition.cs name='Grenade Burst' level=1 skill=Mimicry activation=Casted FP=- STM=8 cast=1.5 cooldown=24 mimicryRank=12 slots=3 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
611,Mimicry,Null Shock,Not Tested,Mimicry,62,PASS,NullShockTechnique/NullShockTechniqueAbilityDefinition/Mimicry rank 48,NullShockTechnique: NullShockTechniqueAbilityDefinition.cs name='Null Shock' level=1 skill=Mimicry activation=Casted FP=- STM=8 cast=1.5 cooldown=24 mimicryRank=48 slots=3 trait=False stance=False,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
